Reference, Value, Footprint, Datasheet, Part URL
"D315","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D313","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D319","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D318","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D317","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D320","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D324","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D321","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D322","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D323","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D327","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D326","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D325","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D328","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D332","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D330","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D331","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D329","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D335","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D334","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D333","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D336","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D340","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D337","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D338","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D339","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D343","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D342","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D341","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D344","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D348","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D346","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D347","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D345","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D351","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D350","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D349","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D352","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D356","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D353","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D354","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D355","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D359","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D358","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D357","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D360","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D307","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D306","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D305","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D308","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D304","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D301","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D302","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"D303","SK6812MINI","LED_SDM_MOD:SK6812-MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","https://es.aliexpress.com/item/32782295214.html"
"U301","74LVC1G125","Package_TO_SOT_SMD:SOT-23-5","https://datasheet.lcsc.com/lcsc/1809200051_Texas-Instruments-SN74LVC1G125DBVR_C23654.pdf","https://lcsc.com/product-detail/Buffers-Drivers_Texas-Instruments-SN74LVC1G125DBVR_C23654.html"
